 Branch,Department,  Year ,  Sales Amount_2019,Year,  Sales Amount_2020,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,360592,2020,668315,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,360910,2020,422051,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,131628,2020,805406,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,271961,2020,1147037,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,194302,2020,697253,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,364208,2020,971202,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,455562,2020,293110,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,218568,2020,892121,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,425440,2020,986955,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,171685,2020,569984,,,,,,,,,,,,,
Banglshal,Food and Beverage,2019,335329,2020,150919,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,420863,2020,753781,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,347689,2020,207958,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,119318,2020,140143,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,225780,2020,704406,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,430415,2020,340376,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,233999,2020,1028160,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,358462,2020,490184,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,268333,2020,814958,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,261325,2020,689500,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,153832,2020,253755,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,432958,2020,196647,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,192682,2020,710200,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,345493,2020,158216,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,249640,2020,327302,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,422002,2020,522186,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,190733,2020,420061,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,140937,2020,1100545,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,282342,2020,378256,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,305913,2020,994352,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,332432,2020,129415,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,139891,2020,190320,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,188945,2020,319991,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,170915,2020,652235,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,260819,2020,639676,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,454278,2020,226616,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,192950,2020,414440,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,136868,2020,533244,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,329105,2020,704164,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,323467,2020,839142,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,379257,2020,741740,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,187480,2020,593161,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,454549,2020,602430,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,378134,2020,951667,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,334967,2020,512862,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,395341,2020,1144500,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,208326,2020,172874,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,306045,2020,860871,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,323586,2020,541016,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,216959,2020,240548,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,148114,2020,902538,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,141100,2020,964302,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,248061,2020,610230,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,215702,2020,842826,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,378121,2020,197387,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,126180,2020,432638,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,285645,2020,683465,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,343607,2020,625804,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,133208,2020,276206,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,139137,2020,552057,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,307877,2020,303403,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,339248,2020,518091,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,453814,2020,155889,,,,,,,,,,,,,
CDA Avenue,Food and Beverage,2019,316075,2020,396139,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,118855,2020,364624,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,237863,2020,585437,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,216357,2020,458544,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,241818,2020,122463,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,423278,2020,1128866,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,415079,2020,444053,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,145102,2020,262133,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,204316,2020,742411,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,342880,2020,324433,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,260859,2020,530166,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,417529,2020,375711,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,382924,2020,516062,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,352331,2020,771138,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,361347,2020,1061025,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,351707,2020,335747,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,387806,2020,977417,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,433214,2020,139139,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,427511,2020,1070206,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,130977,2020,591111,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,356313,2020,872522,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,184756,2020,858135,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,186576,2020,512155,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,231111,2020,263676,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,414150,2020,1127979,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,138682,2020,771353,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,418640,2020,1003228,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,217709,2020,999607,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,317132,2020,783865,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,152347,2020,683483,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,428998,2020,904283,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,173121,2020,939544,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,286046,2020,524206,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,312863,2020,899186,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,331218,2020,252618,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,342137,2020,774875,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,285838,2020,1055425,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,182403,2020,490370,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,317035,2020,232362,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,386830,2020,1058802,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,400383,2020,655480,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,153970,2020,121925,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,303000,2020,519610,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,296147,2020,692257,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,406038,2020,765671,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,234853,2020,487075,,,,,,,,,,,,,
Cumilla,Food and Beverage,2019,196983,2020,1005918,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,326238,2020,820254,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,350440,2020,453570,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,218405,2020,690527,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,270335,2020,877253,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,130309,2020,246206,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,189786,2020,197636,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,372147,2020,359848,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,171094,2020,456135,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,171542,2020,751221,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,429187,2020,510940,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,325603,2020,906706,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,271359,2020,370011,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,147255,2020,504584,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,125252,2020,793376,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,234663,2020,468150,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,124956,2020,614384,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,116571,2020,134468,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,211414,2020,456686,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,322953,2020,527241,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,141559,2020,886727,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,362611,2020,1003721,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,166740,2020,739041,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,314527,2020,1084854,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,200719,2020,571013,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,147864,2020,538457,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,364971,2020,932915,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,141907,2020,316592,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,449569,2020,119109,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,315242,2020,236237,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,382262,2020,498530,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,154244,2020,1105507,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,190854,2020,279107,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,440886,2020,582415,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,334200,2020,217023,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,332378,2020,289601,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,193815,2020,1025240,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,343012,2020,134143,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,352267,2020,646495,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,236253,2020,518863,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,299225,2020,670468,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,347506,2020,465501,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,230082,2020,617742,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,414687,2020,1039620,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,427244,2020,633933,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,378044,2020,566072,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,157011,2020,651876,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,347450,2020,553644,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,182428,2020,381536,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,198457,2020,124398,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,182699,2020,892450,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,142350,2020,995379,,,,,,,,,,,,,
Gazipur,Food and Beverage,2019,331909,2020,630734,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,180737,2020,538224,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,238604,2020,757244,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,337931,2020,917454,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,403269,2020,518747,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,199445,2020,905053,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,389271,2020,163646,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,292062,2020,375916,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,388980,2020,350569,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,210167,2020,822815,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,286341,2020,265062,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,186449,2020,517141,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,454914,2020,585511,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,380428,2020,235150,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,250478,2020,768690,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,224953,2020,749480,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,163211,2020,163948,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,377079,2020,462584,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,417865,2020,470095,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,248255,2020,122657,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,410189,2020,1062552,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,189135,2020,641508,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,144799,2020,248867,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,257997,2020,893597,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,249671,2020,818672,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,265937,2020,727588,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,260471,2020,1116153,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,277499,2020,288789,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,199416,2020,946956,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,253054,2020,369602,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,188482,2020,749470,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,373745,2020,842484,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,127922,2020,701584,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,343877,2020,413471,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,142929,2020,962539,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,340383,2020,822539,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,443983,2020,580478,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,223628,2020,539731,,,,,,,,,,,,,
Gulshan,Food and Beverage,2019,391617,2020,721334,,,,,,,,,,,,,
